Timestamp,Object,Duration_Seconds
2026-01-18 11:38:49.083234,cell phone,0.17
2026-01-18 11:38:49.945304,cell phone,0.03
2026-01-18 11:38:52.146423,cell phone,0.13
2026-01-18 11:38:59.025765,cell phone,2.6
2026-01-18 11:39:02.338589,cell phone,0.07
2026-01-18 11:39:06.372147,cell phone,0.53
2026-01-18 11:39:06.657424,bottle,0.1
2026-01-18 11:39:07.747300,bottle,0.03
2026-01-18 11:39:08.253033,cell phone,0.43
2026-01-18 11:39:10.251327,bottle,0.03
2026-01-18 11:39:10.850494,bottle,0.03
2026-01-18 11:39:15.352422,bottle,0.83
2026-01-18 11:39:16.271073,cell phone,2.33
2026-01-18 11:39:26.824000,cell phone,0.37
2026-01-18 11:39:27.176084,cell phone,0.03
2026-01-18 11:39:28.037094,cell phone,0.1
2026-01-18 11:39:28.625450,cell phone,0.07
2026-01-18 11:39:29.784145,cell phone,0.03
2026-01-18 11:39:32.089965,cell phone,0.03
2026-01-18 11:39:35.900308,cell phone,0.43
2026-01-18 11:39:36.004010,laptop,0.03
2026-01-18 11:39:37.453382,cell phone,0.37
2026-01-18 11:39:40.218499,cell phone,0.03
2026-01-18 11:39:42.909719,cell phone,1.13
2026-01-18 11:39:43.699397,cell phone,0.17
2026-01-18 11:39:45.020761,cell phone,0.07
2026-01-18 11:39:45.670545,cell phone,0.07
